figura1: Midoriya, Bakugo & Todoroki Prime 1 Studio; 1750€ (2100€); 69x57x55cm; polystone, resina;Prime 1 Studio
figura2: Izuku Midoriya vs. Muscular; 500€ (600€); 30x29x21cm; PVC; S-FIRE
figura3: Izuku Midoriya vs. Stain; 439€ (539€); 30cm; PVC; S-FIRE
figura4: Izuku Midoriya IKIGAI; 320€ (400€); 29x18x36cm; poliresina; Tsume
figura5: Izuku Midoriya & Eri S-FIRE; 420€ (490€); 20x31x20cm; PVC; SEGA
figura6: Izuku Midoriya Dark Deku; 299€ (349€); 29cm; PVC; Kotobukiya
figura7: Katsuki Bakugo IKIGAI; 349€ (389€); 30x18x36cm; poliresina; Tsume
figura8: Endeavor IKIGAI; 349€ (389€); 37x18x36cm; poliresina; Tsume
figura9: Shoto Todoroki IKIGAI; 379€ (439€); 34x18x36cm; poliresina; Tsume
figura10: All Might S-FIRE; 229€ (269€); 20cm; PVC; SEGA
