figura1: The Legend of Naruto Uzumaki; 27000€ (3200€); 87x75x67cm; resina, PVC, metal magnet;Tsume
figura2: Naruto vs. Pain Elite; 1600€ (1850€); 69x46x64cm; poliresina; Figurama
figura3: Uzumaki Naruto Sage Art: Lava Release Rasenshuriken; 60€ (75€); 24cm; PVC; Tamashii Nations Bandai
figura4: Gaara vs. Kimimaro Elite Dynamic Statue; 900€ (1150€); 61x51x48cm; polystone, PVC; Hez Collectibles
figura5: Gaara IKIGAI; 399€ (469€); 28x18x36cm; poliresina; Tsume
figura6: Namikaze Minato vs Kurama Battle of Destiny; 1700€ (1850€); 59x76x60cm; polystone, PVC; Hez Collectibles
figura7: Minato Namikaze IKIGAI; 379€ (449€); 41x18x36cm; poliresina; Tsume
figura8: Sakura Haruno Gals DX; 319€ (369€); 27cm; PVC; Megahouse
figura9: Kakashi Susanoo Ver. Precious G.E.M.; 275€ (299€); 28cm; PVC; Megahouse
figura10: Hinata Gals DX Ver. 3; 209€ (259€); 35x20x18cm; PVC; Megahouse
