figura1: Blackbeard ULTRA HQS; 1999€ (2499€); 105x80x75cm; Imán, poliresina, metal; Tsume
figura2: Buggy the Clown HQS DIORAMAX; 1599€ (1999€); 75x57x52cm; Imán, poliresina, metal, PVC; Tsume
figura3: Brook HQS DIORAMAX;1299€ (1499); 65x57x61cm; Imán, poliresina, metal, PVC; Tsume
figura4: Eustass Kid IKIGAI; 429€ (489€); 43x22x36cm; poliresina; Tsume
figura5: Nami HQS DIORAMAX; 1009€ (1299€); 64x41x49cm; Imán, poliresina, metal, PVC; Tsume
figura6: Zoro Juro Portrait of Pirates Warriors Alliance; 199€ (229€); 22cm; PVC; Megahouse
figura7: Luffy Taro; 75€ (89€); 20cm; PVC; Banpresto
figura8: Monkey D. Luffy Gear 5 Giant; 99€ (129€); 30cm; PVC; Bandai
figura9: Monkey D. Luffy -Gear5-; 199€ (239€); 23cm; PVC; Megahouse
figura10: Luffy Special Puchirama DX Logbox Re:Birth Vol. 2; 89€ (109€); 15cm; PVC; Megahouse
